アドレス,言語,単語,再翻訳,翻訳,一致,類似度_difflib,分類,類似度_ai,類似度_claude
P459,id,折れる,壊れた,Patah,False,33.3%,不一致,20%,85
P460,id,欠ける,剥離/侵食,Terkelupas / Terkikis,False,0.0%,不一致,0%,70
P461,id,近づく,近づいてくる,Mendekat,False,66.7%,不一致,50%,100
P462,id,電源を入れる,電源を入れる,Menyalakan daya,True,100.0%,完全一致,100%,100
P463,id,電源を落とす,電源を切る,Mematikan daya,False,54.5%,不一致,37%,100
P464,id,スイッチを切る,スイッチをオフにする,Mematikan sakelar,False,70.6%,不一致,76%,100
P465,id,固定（する）,固定/締め付け,Memfiksasi / Mengencangkan,False,30.8%,不一致,18%,100
P466,id,ゆるめる,リラックス,Mengendurkan,False,0.0%,不一致,0%,30
P467,id,伸ばす,長くする/伸ばす,Memanjangkan / Meregangkan,False,54.5%,不一致,33%,100
P468,id,外す,手放す,Melepas,False,40.0%,不一致,25%,85
P469,id,曲げる,曲げる,Membengkokkan,True,100.0%,完全一致,100%,100
P470,id,出す,放出する,Mengeluarkan,False,66.7%,不一致,45%,95
P471,id,乾かす,乾燥,Mengeringkan,False,40.0%,不一致,25%,100
P472,id,数える,カウント,Menghitung,False,0.0%,不一致,0%,100
P473,id,運ぶ,輸送,Mengangkut,False,0.0%,不一致,0%,100
P474,id,積む,積載/積み重ね,Memuat / Menumpuk,False,22.2%,不一致,14%,100
P475,id,下ろす,降ろし/荷降ろし,Menurunkan / Membongkar,False,18.2%,不一致,14%,100
P476,id,離れる,立ち去る,Menjauh / Meninggalkan,False,28.6%,不一致,16%,100
P477,id,位置,位置,Posisi,True,100.0%,完全一致,100%,100
P478,id,寸法,寸法,Dimensi,True,100.0%,完全一致,100%,100
P479,id,測定（する）,測定/計測,Pengukuran / Mengukur,False,36.4%,不一致,25%,100
P480,id,計測（する）,測定,Pengukuran,False,25.0%,不一致,14%,100
P481,id,計測器,測定器,Alat ukur,False,66.7%,不一致,50%,100
P482,id,温度,温度,Suhu,True,100.0%,完全一致,100%,100
P483,id,高さ,高い,Tinggi,False,50.0%,不一致,33%,80
P484,id,長さ,長さ,Panjang,True,100.0%,完全一致,100%,100
P485,id,重さ,重い,Berat,False,50.0%,不一致,33%,80
P486,id,厚さ,厚さ,Ketebalan,True,100.0%,完全一致,100%,100
P487,id,硬さ,暴力,Kekerasan,False,0.0%,不一致,0%,0
P488,id,深さ,深さ,Kedalaman,True,100.0%,完全一致,100%,100
P489,id,表面,表面,Permukaan,True,100.0%,完全一致,100%,100
P490,id,すきま,隙間・ゆるみ,Celah / Kelonggaran,False,0.0%,不一致,0%,95
P491,id,中心,中心,Pusat,True,100.0%,完全一致,100%,100
P492,id,値,マーク,Nilai,False,0.0%,不一致,0%,30
P493,id,安定（する）,安定している / 安定しつつある,Stabil / Menjadi stabil,False,27.3%,不一致,23%,100
P494,id,大きさ,サイズ,Ukuran,False,0.0%,不一致,0%,100
P495,id,数,額,Jumlah,False,0.0%,不一致,0%,40
P496,id,誤差,エラー/許容範囲,Galat / Toleransi,False,0.0%,不一致,0%,100
P497,id,中,内側/中間,Dalam / Tengah,False,33.3%,不一致,18%,100
P498,id,反対,反対,Berlawanan,True,100.0%,完全一致,100%,100
P499,id,周り,その周り,Sekitar,False,66.7%,不一致,45%,100
P500,id,尺,尺（日本の単位）,Shaku (satuan Jepang),False,22.2%,不一致,11%,100
P501,id,青,青,Biru,True,100.0%,完全一致,100%,100
P502,id,赤,赤,Merah,True,100.0%,完全一致,100%,100
P503,id,白,白,Putih,True,100.0%,完全一致,100%,100
P504,id,黄色,黄色,Kuning,True,100.0%,完全一致,100%,100
P505,id,片づける,片付ける,Bereskan / Rapikan,False,75.0%,不一致,78%,100
P506,id,捨てる,捨てる,Buang,True,100.0%,完全一致,100%,90
P507,id,掃く,掃除,Menyapu,False,50.0%,不一致,33%,100
P508,id,持ち上げる,リフト,Mengangkat,False,0.0%,不一致,0%,100
P509,id,束ねる,バンドル/1つにまとめる,Membundel / Mengikat jadi satu,False,13.3%,不一致,7%,100
P510,id,足をくじく,足首の捻挫,Terkilir pergelangan kaki,False,20.0%,不一致,12%,100
P511,id,一輪車,一輪車（手押し車）,Gerobak satu roda (wheelbarrow),False,50.0%,不一致,30%,100
P512,id,支柱,ポーランド人,Tiang penyangga,False,0.0%,不一致,0%,0
P513,id,ショベル,シャベル,Sekop,False,75.0%,不一致,78%,100
P514,id,かけや,木槌（かけや）,Palu kayu (kakeya),False,60.0%,不一致,38%,100
Q2,ta,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
R2,si,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
S2,mn,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
T2,ar,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
U2,fa,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
V2,tr,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
W2,ru,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
X2,ur,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
Y2,km,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
Z2,lo,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AA2,ms,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AB2,de,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AC2,hu,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AD2,cs,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AE2,pl,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AF2,nl,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AG2,da,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AH2,fi,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AI2,sv,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AJ2,lb,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AK2,af,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
AK3,af,技能実習,スキルインターンシップ,Vaardigheidsinternskap,False,0.0%,不一致,0%,100
AK4,af,技能実習生,スキルインターン,Vaardigheidsintern,False,0.0%,不一致,0%,100
AK5,af,工場,工場,Fabriek,True,100.0%,完全一致,100%,100
AK6,af,製造,製造業,Vervaardiging,False,80.0%,不一致,90%,90
AK7,af,機械,機械,Masjien,True,100.0%,完全一致,100%,100
AK8,af,安全,安全性,Veiligheid,False,80.0%,不一致,95%,95
AK9,af,危険（な）,危険な,Gevaarlik,False,75.0%,不一致,78%,100
AK10,af,危ない,危険/リスクあり,Gevaarlik / Riskant,False,18.2%,不一致,10%,100
AK11,af,清掃,クリーン,Skoonmaak,False,0.0%,不一致,0%,100
AK12,af,非常口,非常口,Nooduitgang,True,100.0%,完全一致,100%,100
AK13,af,注意,注意 / 警告,Let op / Waarskuwing,False,44.4%,不一致,25%,100
AK14,af,火事,やけど,Brand,False,0.0%,不一致,0%,50
AK15,af,事故,事故,Ongeluk,True,100.0%,完全一致,100%,100
AK16,af,服装,衣類,Kleredrag,False,0.0%,不一致,0%,100
AK17,af,安全装置,安全装置,Veiligheidstoestel,True,100.0%,完全一致,100%,100
AK18,af,安全カバー,安全カバー/保護フード,Veiligheidsbedekking / Beskermkap,False,62.5%,不一致,40%,100
AK19,af,けが,けが,Besering,True,100.0%,完全一致,100%,100
AK20,af,けがをする,怪我をする,Beseer raak,False,60.0%,不一致,100%,100
AK21,af,電源,電源,Kragtoevoer,True,100.0%,完全一致,100%,100
AK22,af,電源を切る,電源を切ってください。,Skakel die krag af,False,50.0%,不一致,33%,100
AK23,af,非常停止ボタン,緊急停止ボタン,Noodstopknop,False,71.4%,不一致,76%,100
AK24,af,非常停止ボタンを押す,緊急停止ボタンを押してください。,Druk die noodstopknop,False,53.8%,不一致,36%,100
AK25,af,ルール,ルール,Reëls,True,100.0%,完全一致,100%,100
AK26,af,ルールを守る,ルールに従う,Volg die reëls,False,50.0%,不一致,25%,100
AK27,af,止める,停止,Stop,False,40.0%,不一致,25%,100
AK28,af,機械を止める,機械を停止する,Stop die masjien,False,76.9%,不一致,78%,100
AK29,af,やって,やれよ,Doen dit,False,33.3%,不一致,20%,70
AK30,af,止めて,やめろ/やめろ,Hou op / Stop dit,False,20.0%,不一致,16%,95
AK31,af,取って,持って行って／持ってきて,Neem dit / Bring dit,False,26.7%,不一致,28%,80
AK32,af,だめ（な）,禁止/許可されていません,Verbode / Nie toelaatbaar nie,False,0.0%,不一致,0%,100
AK33,af,監理団体,監督組織,Toesighoudende organisasie,False,25.0%,不一致,14%,80
AK34,af,技術移転,技術移転,Tegnologie-oordrag,True,100.0%,完全一致,100%,100
AK35,af,技能実習期間,インターンシップ期間,Internskaptydperk,False,25.0%,不一致,15%,100
AK36,af,職種,職業/職種,Beroep / Poskategorie,False,57.1%,不一致,36%,100
AK37,af,在留資格,居住ステータス,Verblyfstatus,False,0.0%,不一致,0%,100
AK38,af,パスポート,パスポート,Paspoort,True,100.0%,完全一致,100%,100
AK39,af,在留カード,宿泊カード,Verblyfkaart,False,60.0%,不一致,42%,60
AK40,af,入管,移民,Immigrasie,False,0.0%,不一致,0%,90
AK41,af,在留期間,滞在期間,Verblyftermyn,False,75.0%,不一致,78%,100
AK42,af,雇用契約,雇用契約,Dienskontrak,True,100.0%,完全一致,100%,100
AK43,af,給与明細,給与明細書,Betaalstrokie,False,88.9%,不一致,72%,100
AK44,af,給料,給与,Salaris / Loon,False,50.0%,不一致,33%,95
AK45,af,残業手当,残業手当,Oortydbetaling / Oortydtoelae,True,100.0%,完全一致,100%,100
AK46,af,労働時間,勤務時間,Werksure,False,50.0%,不一致,33%,100
AK47,af,控除（する）,減算,Aftrekking,False,0.0%,不一致,0%,85
AK48,af,ボーナス,ボーナス,Bonus,True,100.0%,完全一致,100%,100
AK49,af,有休,有給休暇,Betaalde verlof,False,66.7%,不一致,50%,100
AK50,af,代休,代休・代替休,Vergoedingsverlof / Vervangingsverlof,False,50.0%,不一致,30%,100
AK51,af,労働基準法,雇用基本条件法（SA）,Wet op Basiese Diensvoorwaardes（SA）,False,25.0%,不一致,14%,80
AK52,af,労働条件,労働条件,Arbeidsvoorwaardes,True,100.0%,完全一致,100%,95
AK53,af,税金,課税,Belasting,False,50.0%,不一致,33%,95
AK54,af,所得税,所得税,Inkomstebelasting,True,100.0%,完全一致,100%,100
AK55,af,住民税,市税,Munisipale belasting,False,40.0%,不一致,25%,90
AK56,af,厚生年金,厚生年金保険,Werknemerspensioenversekering,False,80.0%,不一致,60%,100
AK57,af,雇用保険,失業保険,Werkloosheidsversekering,False,50.0%,不一致,33%,95
AK58,af,健康保険,健康保険,Gesondheidsversekering,True,100.0%,完全一致,100%,100
AK59,af,社会保険,社会保険,Maatskaplike versekering,True,100.0%,完全一致,100%,100
AK60,af,労災,労働災害,Bedryfsongeval,False,66.7%,不一致,50%,100
AK61,af,労災保険,労働災害に対する補償,Vergoeding vir beroepsbeserings,False,28.6%,不一致,16%,100
AK62,af,遅刻（する）,遅すぎる,Te laat kom,False,60.0%,不一致,42%,85
AK63,af,早退（する）,早めの出発,Vroeg vertrek,False,18.2%,不一致,10%,100
AK64,af,休憩（する）,休憩中,Pouse neem,False,44.4%,不一致,28%,100
AK65,af,残業（する）,残業,Oortyd werk,False,50.0%,不一致,30%,100
AK66,af,定時,固定労働時間,Vaste werksure,False,50.0%,不一致,33%,100
AK67,af,規則,規則/ルール,Regulasies / Reëls,False,50.0%,不一致,30%,100
AK68,af,休日,休日,Vrye dag / Rusdag,True,100.0%,完全一致,100%,100
AK69,af,始業時間,開始時間,Aanvangstyd,False,75.0%,不一致,78%,100
AK70,af,終業時間,終了時間,Eindtyd,False,75.0%,不一致,78%,100
AK71,af,指導員,インストラクター,Instrukteur,False,0.0%,不一致,0%,100
AK72,af,生活指導員,ライフコーチ,Lewensbegeleier,False,0.0%,不一致,0%,100
AK73,af,担当者,責任者,Verantwoordelike persoon,False,33.3%,不一致,20%,100
AK74,af,スイッチ入れるな,スイッチを入れないでください。,Moenie die skakelaar aansit nie,False,60.9%,不一致,46%,100
AK75,af,スイッチ切るな,スイッチをオフにしないでください。,Moenie die skakelaar afsit nie,False,41.7%,不一致,27%,100
AK76,af,使用禁止,使用禁止,Gebruik verbode,True,100.0%,完全一致,100%,100
AK77,af,5S,5S,5S,True,100.0%,完全一致,100%,100
AK78,af,整理,整理（せいり）,Sortering（Seiri）,False,44.4%,不一致,25%,100
AK79,af,整頓,整頓（せいとん）,Ordening（Seiton）,False,40.0%,不一致,22%,100
AK80,af,清掃,清掃（季節）,Skoonmaak（Seiso）,False,50.0%,不一致,30%,100
AK81,af,清潔,清潔,Netheid / Higiëne（Seiketsu）,True,100.0%,完全一致,100%,100
AK82,af,しつけ,躾（しつけ）,Dissipline（Shitsuke）,False,66.7%,不一致,45%,100
AK83,af,掃除（する）,クリーン,Skoonmaak,False,0.0%,不一致,0%,100
AK84,af,片づける,片付ける/掃除する,Opruim / Netjies maak,False,46.2%,不一致,33%,100
AK85,af,捨てる,捨てる,Weggooi,True,100.0%,完全一致,100%,90
AK86,af,汚い,汚い,Vuil,True,100.0%,完全一致,100%,100
AK87,af,汚れる,汚れる,Vuil word,True,100.0%,完全一致,100%,100
AK88,af,分別（する）,廃棄物を分別する,Afval sorteer,False,57.1%,不一致,40%,100
AK89,af,燃えないごみ,不燃性廃棄物,Onbrandbare afval,False,16.7%,不一致,9%,100
AK90,af,燃えるごみ,可燃性廃棄物,Brandbare afval,False,18.2%,不一致,10%,100
AK91,af,挟まれる,行き詰まる,Vasgeklem raak,False,44.4%,不一致,28%,70
AK92,af,巻き込まれる,絡まる/引き込まれる,Verstrengel / Ingetrek word,False,62.5%,不一致,76%,100
AK93,af,やけど（する）,火傷を負う,Brandwond kry,False,0.0%,不一致,0%,100
AK94,af,落ちる,秋,Val,False,0.0%,不一致,0%,100
AK95,af,すべる,スライド,Gly,False,0.0%,不一致,0%,95
AK96,af,転ぶ,つまずいて転ぶ,Struikel en val,False,44.4%,不一致,25%,100
AK97,af,濡れる,濡れる,Nat word,True,100.0%,完全一致,100%,100
AK98,af,衛生,衛生,Higiëne,True,100.0%,完全一致,100%,100
AK99,af,避難（する）,退去,Ontruim,False,0.0%,不一致,0%,100
AK100,af,救   車,救急車,Ambulans,False,50.0%,不一致,50%,100
AK101,af,災害,災害,Ramp,True,100.0%,完全一致,100%,100
AK102,af,地震,地震,Aardbewing,True,100.0%,完全一致,100%,100
AK103,af,もぐる,隠れる/潜む,Skuil / Kruip onder,False,22.2%,不一致,12%,80
AK104,af,火気厳禁,火気厳禁,Geen oop vlamme,True,100.0%,完全一致,100%,100
AK105,af,開放厳禁,開けないでください。,Moenie oopmaak nie,False,14.3%,不一致,8%,100
AK106,af,標識,星座 / 牡羊座管,Tekens / Rambuise,False,0.0%,不一致,0%,0
AK107,af,気をつける,気をつけて。,Wees versigtig,False,72.7%,不一致,77%,100
AK108,af,持ち込む,持ち込む,Inbring,True,100.0%,完全一致,100%,100
AK109,af,防ぐ,防ぐ,Voorkom,True,100.0%,完全一致,100%,100
AK110,af,火,火,Vuur,True,100.0%,完全一致,100%,100
AK111,af,煙,煙,Rook,True,100.0%,完全一致,100%,100
AK112,af,消火,消火,Brandblus,True,100.0%,完全一致,100%,100
AK113,af,消火器,消火器,Brandblusser,True,100.0%,完全一致,100%,100
AK114,af,非常ベル,目覚まし時計 / 非常ベル,Alarmklok / Noodbel,False,47.1%,不一致,27%,95
AK115,af,火災報知機,火災警報,Brandalarm,False,66.7%,不一致,50%,95
AK116,af,逃げる,逃走,Vlug / Ontsnap,False,40.0%,不一致,25%,100
AK117,af,現場,職場/現場,Werkplek / Terrein,False,57.1%,不一致,36%,100
AK118,af,作業,仕事/タスク,Werk / Taak,False,0.0%,不一致,0%,90
AK119,af,ミーティング,ミーティング,Vergadering,True,100.0%,完全一致,100%,100
AK120,af,研修（する）,トレーニング,Opleiding,False,0.0%,不一致,0%,100
AK121,af,実習（する）,実習,Praktiese opleiding,False,50.0%,不一致,30%,100
AK122,af,あいさつ,挨拶する,Groet,False,0.0%,不一致,0%,100
AK123,af,確認（する）,確認/チェック,Bevestig / Nagaan,False,30.8%,不一致,18%,100
AK124,af,報告（する）,報告,Rapporteer,False,50.0%,不一致,30%,100
AK125,af,連絡（する）,接触,Kontak,False,0.0%,不一致,0%,95
AK126,af,相談（する）,相談する,Raadpleeg,False,80.0%,不一致,80%,100
AK127,af,渡す,引き渡す,Oorhandig,False,66.7%,不一致,45%,100
AK128,af,申請書,申込書,Aansoekvorm,False,66.7%,不一致,50%,95
AK129,af,寝坊（する）,お泊まり会,Verslaap,False,0.0%,不一致,0%,0
AK130,af,技能,スキル,Vaardigheid,False,0.0%,不一致,0%,100
AK131,af,技能検定試験,スキルテスト,Vaardigheidstoets,False,0.0%,不一致,0%,100
AK132,af,受検（する）,試験を受ける,Eksamen aflê,False,33.3%,不一致,20%,100
AK133,af,資格,資格・証明書,Kwalifikasie / Sertifikaat,False,50.0%,不一致,30%,100
AK134,af,手当,付与,Toelae,False,0.0%,不一致,0%,60
AK135,af,社員,従業員,Werknemer,False,40.0%,不一致,25%,100
AK136,af,部長,部門マネージャー,Afdelingsbestuurder,False,20.0%,不一致,12%,100
AK137,af,課長,部長／課長,Afdelingshoof / Seksiehoof,False,57.1%,不一致,36%,95
AK138,af,更衣室,更衣室,Kleedkamer,True,100.0%,完全一致,100%,100
AK139,af,台車,トロリー,Trollie,False,0.0%,不一致,0%,100
AK140,af,床,床,Vloer,True,100.0%,完全一致,100%,100
AK141,af,出口,出口,Uitgang,True,100.0%,完全一致,100%,100
AK142,af,電気,電気,Elektrisiteit,True,100.0%,完全一致,100%,100
AK143,af,警報音,警報信号,Alarmsignaal,False,57.1%,不一致,40%,100
AK144,af,コンセント,壁コンセント/電源接続,Muursok / Kragaansluiting,False,62.5%,不一致,40%,100
AK145,af,作業場,作業エリア,Werkarea,False,50.0%,不一致,33%,100
AK146,af,作業台,ワークベンチ,Werkbank,False,0.0%,不一致,0%,100
AK147,af,工事現場,建設現場,Bouperseel,False,50.0%,不一致,33%,100
AK148,af,職長,フォアマン / フォアマン,Voorman / Mandor,False,0.0%,不一致,0%,100
AK149,af,作業責任者,作業管理者/作業監督者,Werkverantwoordelike / Werksupervisor,False,37.5%,不一致,30%,100
AK150,af,禁止,禁断,Verbode,False,50.0%,不一致,33%,100
AK151,af,表示板,銘板/表示板,Kenbord / Aanwyserbord,False,66.7%,不一致,45%,100
AK152,af,禁止事項,禁止事項,Verbodsbepalings,True,100.0%,完全一致,100%,100
AK153,af,避難訓練,避難訓練,Ontruimingsoefening,True,100.0%,完全一致,100%,100
AK154,af,感電（する）,感電する,Elektriese skok kry,False,80.0%,不一致,80%,100
AK155,af,防止（する）,防止,Voorkoming,False,50.0%,不一致,30%,100
AK156,af,予防（する）,防止,Voorkoming / Preventie,False,25.0%,不一致,14%,100
AK157,af,転倒（する）,転倒する,Omval / Val,False,80.0%,不一致,80%,100
AK158,af,挟まる,立ち往生,Vassteek,False,0.0%,不一致,0%,100
AK159,af,足元,足元,Voetplek / Onder jou voete,True,100.0%,完全一致,100%,100
AK160,af,不安定（な）,不安定,Onstabiel,False,66.7%,不一致,45%,100
AK161,af,後片付け,仕事後の掃除,Opruim ná werk,False,20.0%,不一致,11%,100
AK162,af,救   箱,救急箱,Eerstehulp-kis,False,50.0%,不一致,50%,95
AK163,af,絆創膏,石膏,Pleister,False,40.0%,不一致,25%,100
AK164,af,体調,体調,Liggaamstoestand,True,100.0%,完全一致,100%,100
AK165,af,血,血,Bloed,True,100.0%,完全一致,100%,100
AK166,af,熱中症,熱中症,Hittesteek,True,100.0%,完全一致,100%,100
AK167,af,吐き気,吐き気,Naarheid,True,100.0%,完全一致,100%,100
AK168,af,嘔吐（する）,吐瀉物,Braak,False,22.2%,不一致,12%,100
AK169,af,足がつる,脚のけいれん,Beenkramp,False,0.0%,不一致,0%,100
AK170,af,気分が悪い,気分が悪い,Sleg voel,True,100.0%,完全一致,100%,100
AK171,af,寝不足,睡眠不足,Slaaptekort,False,57.1%,不一致,40%,100
AK172,af,安全ネット,セーフティネット,Veiligheidsnet,False,46.2%,不一致,30%,100
AK173,af,安全点検,安全検査,Veiligheidsinspeksie,False,75.0%,不一致,78%,100
AK174,af,KY活動（危険予知活動）,KY活動（危険予報）,KY-aktiwiteit（Gevaarvoorspelling）,False,81.8%,不一致,96%,95
AK175,af,危険,危険,Gevaar,True,100.0%,完全一致,100%,100
AK176,af,ぶつかる,衝突,Bots,False,0.0%,不一致,0%,100
AK177,af,当たる,タッチ/ヒット,Raak / Tref,False,0.0%,不一致,0%,85
AK178,af,下敷きになる,何かの下に押し込まれる,Onder iets vasgepen word,False,35.3%,不一致,21%,100
AK179,af,打つ,打つ,Slaan,True,100.0%,完全一致,100%,100
AK180,af,バランスを崩す,バランスを失う,Balans verloor,False,71.4%,不一致,76%,100
AK181,af,倒れる,倒れる / 崩壊する,Omval / Inmekaar stort,False,46.2%,不一致,27%,100
AK182,af,転落（する）,高所からの落下,Val van hoogte,False,15.4%,不一致,8%,100
AK183,af,指差呼称,指差し呼び出し,Wys-en-roep,False,54.5%,不一致,42%,100
AK184,af,ヒヤリハット,ニアミス,Byna-ongeluk（Near miss）,False,0.0%,不一致,0%,100
AK185,af,原因,原因,Oorsaak,True,100.0%,完全一致,100%,100
AK186,af,対策,対策,Teenmaatreël,True,100.0%,完全一致,100%,100
AK187,af,落下（する）,落下/落下,Val / Laat val,False,36.4%,不一致,28%,100
AK188,af,墜落（する）,墜落/高所からの落下,Neerstort / Van hoogte af val,False,25.0%,不一致,15%,100
AK189,af,確認（する）,確認/チェック,Bevestig / Kontroleer,False,30.8%,不一致,18%,100
AK190,af,作業着,作業服,Werkdrag,False,66.7%,不一致,50%,100
AK191,af,作業服,作業服,Werkklere,True,100.0%,完全一致,100%,100
AK192,af,作業靴,作業靴・安全靴,Werkskoene / Veiligheidsskoene,False,60.0%,不一致,38%,100
AK193,af,手袋,手袋,Handskoene,True,100.0%,完全一致,100%,100
AK194,af,帽子,キャップ,Pet,False,0.0%,不一致,0%,100
AK195,af,保護帽（ヘルメット）,安全ヘルメット,Veiligheidshelm,False,58.8%,不一致,41%,100
AK196,af,保護具,個人用保護具,Persoonlike beskermende toerusting,False,66.7%,不一致,45%,100
AK197,af,あごひも,あごストラップ,Kinband,False,36.4%,不一致,22%,100
AK198,af,ボタン,ボタン/ボタン,Knop / Knoppie,False,60.0%,不一致,38%,100
AK199,af,ポケット,バッグ,Sak,False,28.6%,不一致,16%,50
AK200,af,保護メガネ,安全メガネ,Veiligheidsbril,False,60.0%,不一致,42%,100
AK201,af,マスク,マスク,Masker,True,100.0%,完全一致,100%,100
AK202,af,栓,プラグ/ストッパー,Prop / Stopper,False,0.0%,不一致,0%,85
AK203,af,安全靴,安全靴,Veiligheidsskoene,True,100.0%,完全一致,100%,100
AK204,af,墜落制止用器具（安全帯）,墜落制止用器具（安全ハーネス）,Valbeveiligingstuig（veiligheidsharnas）,False,81.5%,不一致,80%,100
AK205,af,業務,仕事/サービス,Werk / Diens,False,0.0%,不一致,0%,95
AK206,af,時間厳守,時間厳守,Stiptheid / Wees op tyd,True,100.0%,完全一致,100%,100
AK207,af,予定,スケジュール/計画,Skedule / Plan,False,0.0%,不一致,0%,100
AK208,af,日付,日付,Datum,True,100.0%,完全一致,100%,100
AK209,af,準備（する）,準備,Voorbereiding / Voorberei,False,50.0%,不一致,30%,100
AK210,af,会議,ミーティング,Vergadering,False,0.0%,不一致,0%,100
AK211,af,朝礼,朝の会議 / 朝のブリーフィング,Oggendbyeenkoms / Oggendbríf,False,11.1%,不一致,7%,100
AK212,af,報告書,報告,Verslag,False,80.0%,不一致,60%,100
AK213,af,マニュアル,マニュアル,Handleiding,True,100.0%,完全一致,100%,100
AK214,af,作業手順書,作業手順書,Werkprosedure-handleiding,True,100.0%,完全一致,100%,100
AK215,af,調子,州,Toestand,False,0.0%,不一致,0%,0
AK216,af,立入禁止,アクセス禁止,Verbode toegang,False,40.0%,不一致,25%,100
AK217,af,禁煙,禁煙,Geen rook,True,100.0%,完全一致,100%,100
AK218,af,火気厳禁,火気厳禁,Geen oop vlamme,True,100.0%,完全一致,100%,100
AK219,af,駐車禁止,駐車禁止,Geen parkering,True,100.0%,完全一致,100%,100
AK220,af,足もと注意,どこに足を踏み入れるか注意してください。,Pasop waar jy trap,False,24.0%,不一致,13%,100
AK221,af,開口部注意,隙間に注意,Pasop vir openinge,False,40.0%,不一致,25%,100
AK222,af,感電注意,感電に注意してください,Pasop vir elektriese skok,False,53.3%,不一致,36%,100
AK223,af,堕落注意,落下の危険に注意してください,Pasop vir valgevaar,False,33.3%,不一致,20%,95
AK224,af,頭上注意,上からの危険に注意してください,Pasop vir gevaar van bo,False,31.6%,不一致,18%,100
AK225,af,警報設備,警報システム,Alarmsisteem,False,40.0%,不一致,25%,100
AK226,af,消火器,消火器,Brandblusser,True,100.0%,完全一致,100%,100
AK227,af,AED設置場所,AEDの場所,AED-ligging,False,76.9%,不一致,78%,100
AK228,af,保護帽着用,安全ヘルメットを着用してください。,Dra ’n veiligheidshelm,False,18.2%,不一致,10%,100
AK229,af,安全帯使用,安全ハーネスを使用する,Gebruik ’n veiligheidsharnas,False,50.0%,不一致,33%,100
AK230,af,昇降階段,階段,Trappe,False,66.7%,不一致,45%,95
AK231,af,休憩所,休憩所,Rusarea,True,100.0%,完全一致,100%,100
AK232,af,最大積載荷重,最大積載量,Maksimum laaivermoë,False,72.7%,不一致,77%,100
AK233,af,喫煙所,喫煙エリア,Rookarea,False,50.0%,不一致,33%,100
AK234,af,整理整頓,清潔さと秩序,Netheid en ordening,False,0.0%,不一致,0%,100
AK235,af,安全通路,安全な廊下,Veilige gang / Gangkorridor,False,44.4%,不一致,28%,95
AK236,af,三連クランプ,トリプルクランプ,Drievoudige klamp,False,57.1%,不一致,44%,100
AK237,af,"ベルトコンベア
（ベルコン）",ベルトコンベア,Bandvervoerder（belt conveyor）,False,66.7%,不一致,45%,100
AK238,af,かけや,木槌（かけや）,Houthamer（kakeya）,False,60.0%,不一致,38%,100
AL2,fr-CA,翻訳サイネージ,多言語翻訳システム,Multilingual translation system,False,25.0%,不一致,80%,80
